single_quote,double_quote,backtick,less_than,greater_than,left_parenthesis,right_parenthesis,left_bracket,right_bracket,left_brace,right_brace,dash,double_dash,hash,pipe,ampersand,dollar,percent,asterisk,exclamation_mark,equals,logical_or,logical_and,addition_operator,multiplication_operator,sql_comment_multi_line_open,sql_comment_multi_line_close,file_path_root,backslash,colon,comma,period,caret,tilde,at_sign,carriage_return,newline,null_byte,space,hexadecimal_prefix,percent_encoded,badword,label
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,5,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,5,2,1
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,3,0,4,0,0,0,3,1,1,7,0,8,11,8,0,0,0,0,0,0,29,0,0,1,0
1,0,0,0,0,2,2,0,0,0,0,30,1,0,0,2,0,7,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,7,4,1
0,0,0,0,0,2,2,0,0,0,0,28,0,0,0,2,0,5,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,5,1,1
0,0,0,0,0,2,2,0,0,0,0,28,0,0,0,2,0,4,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,4,1,1
0,0,0,0,0,2,2,0,0,0,0,28,0,0,0,2,1,3,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,3,1,1
1,0,0,0,0,4,4,0,0,0,0,30,1,0,0,2,0,3,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,3,2,1
2,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,12,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,12,6,1
0,0,0,0,0,2,2,0,0,0,0,10,0,0,0,4,0,0,2,0,12,0,0,0,2,1,1,12,0,8,11,12,0,0,0,0,0,0,30,0,0,1,0
4,0,0,0,0,5,5,0,0,0,0,28,0,0,0,2,0,10,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,10,8,1
4,0,0,0,0,5,5,3,3,0,0,29,0,0,0,2,0,12,2,0,12,0,0,3,2,1,1,21,0,14,24,17,0,0,0,0,0,0,36,0,12,5,1
4,0,0,0,0,5,5,3,3,0,0,29,0,0,0,2,0,10,2,0,12,0,0,3,2,1,1,21,0,14,24,17,0,0,0,0,0,0,36,0,10,5,1
0,0,0,0,0,3,3,1,1,0,0,28,0,0,0,2,0,9,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,9,4,1
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,5,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,5,4,1
2,0,0,0,0,3,3,1,1,0,0,28,0,0,0,2,0,9,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,9,4,1
0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,7,0,0,0,2,1,1,12,0,8,11,11,0,0,0,0,0,0,30,0,0,1,0
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,6,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,6,5,1
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,4,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,4,4,1
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,4,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,4,3,1
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,5,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,5,4,1
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,7,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,7,4,1
4,0,0,0,0,4,4,0,0,0,0,28,0,0,0,2,0,8,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,8,4,1
2,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,14,2,0,12,0,0,3,2,1,1,21,0,14,23,17,0,0,0,0,0,0,36,0,14,6,1
4,0,0,0,0,5,5,0,0,0,0,28,0,0,0,2,0,8,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,8,4,1
0,0,0,0,0,3,3,0,0,0,0,28,0,0,0,2,0,5,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,5,4,1
0,0,0,0,0,2,2,1,1,0,0,28,0,0,0,2,0,17,2,2,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,17,3,1
0,0,0,0,0,2,2,1,1,0,0,28,0,0,0,2,0,36,2,3,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,1,36,4,1
0,0,0,0,0,2,2,0,0,0,0,29,0,0,0,2,0,28,2,0,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,28,3,1
0,0,0,0,0,2,2,1,1,0,0,28,0,0,0,2,0,32,2,2,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,32,4,1
0,0,0,0,0,2,2,1,1,0,0,28,0,0,0,2,0,21,2,2,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,21,3,1
0,0,0,0,0,2,2,1,1,0,0,29,0,0,0,2,0,35,2,2,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,1,35,4,1
0,0,0,0,0,2,2,1,1,0,0,28,0,0,0,2,0,25,2,2,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,1,25,4,1
0,0,0,0,0,2,2,1,1,0,0,28,0,0,0,2,0,30,2,2,12,0,0,3,2,1,1,21,0,14,22,17,0,0,0,0,0,0,36,0,30,3,1
